fn,roi#,t1,x,y,mortality,status,peak,valley,valley_t,peak_t,threshold_t-
4a29d22eab4b00ef03fee931165c6035.tif.mortality.tab,1,0.0,668.0,1013.0,43.0024091667,1,994.37757471227178,169.77433754554502,19.9987166667,53.0016494444,42.0013411111
4a29d22eab4b00ef03fee931165c6035.tif.mortality.tab,4,0.0,734.0,963.0,17.9989266667,1,3669.2076394283581,314.21104879290647,3.99923527778,26.9993713889,16.9991377778
4a29d22eab4b00ef03fee931165c6035.tif.mortality.tab,5,0.0,1287.0,961.0,3.00062861111,1,321.8437058486046,268.84543495249045,2.00057888889,3.99923527778,2.00057888889
4a29d22eab4b00ef03fee931165c6035.tif.mortality.tab,6,0.0,1349.0,960.0,23.0000244444,1,323.75402966841898,187.23684083594395,19.9987166667,30.0010272222,22.0007877778
4a29d22eab4b00ef03fee931165c6035.tif.mortality.tab,7,0.0,450.0,881.0,47.0003933333,1,2158.2479748486039,238.66685792106705,14.0009997222,61.9995169444,46.0000805556
4a29d22eab4b00ef03fee931165c6035.tif.mortality.tab,10,0.0,1167.0,797.0,11.0005863889,1,346.68286098655199,265.11323794852183,8.99935666667,11.0005863889,9.99896361111
4a29d22eab4b00ef03fee931165c6035.tif.mortality.tab,11,0.0,1216.0,766.0,53.0016494444,1,5080.2974587743511,240.96342505808349,16.9991377778,53.0016494444,52.0018688889
4a29d22eab4b00ef03fee931165c6035.tif.mortality.tab,12,0.0,735.0,762.0,52.0018688889,1,3729.9936058603867,277.34840340354032,17.9989266667,52.0018688889,51.0013369444
4a29d22eab4b00ef03fee931165c6035.tif.mortality.tab,15,0.0,899.0,723.0,49.0009158333,1,6445.0770565449311,274.84241419395238,15.0014825,49.0009158333,48.0017166667
4a29d22eab4b00ef03fee931165c6035.tif.mortality.tab,17,0.0,453.0,720.0,15.0014825,1,5715.9077127870241,332.55803735769155,5.9988625,15.9999711111,14.0009997222
4a29d22eab4b00ef03fee931165c6035.tif.mortality.tab,18,0.0,47.0,721.0,11.9997177778,1,4205.0316205238241,273.50354449584978,3.99923527778,11.9997177778,11.0005863889
4a29d22eab4b00ef03fee931165c6035.tif.mortality.tab,19,0.0,220.0,712.0,5.00060527778,1,345.69140759574282,273.50354449584978,3.99923527778,5.00060527778,3.99923527778
4a29d22eab4b00ef03fee931165c6035.tif.mortality.tab,21,0.0,656.0,683.0,40.0006661111,1,1286.190218634649,202.55600290931886,19.0006161111,50.0006780556,39.0012952778
4a29d22eab4b00ef03fee931165c6035.tif.mortality.tab,22,0.0,1262.0,645.0,21.0005269444,1,1774.2194978831658,319.85681841598984,5.00060527778,22.0007877778,19.9987166667
4a29d22eab4b00ef03fee931165c6035.tif.mortality.tab,23,0.0,1141.0,643.0,30.0010272222,1,5787.6973531736603,248.21411831920631,19.0006161111,31.0009288889,29.0010197222
4a29d22eab4b00ef03fee931165c6035.tif.mortality.tab,24,0.0,372.0,640.0,36.9997761111,1,8915.9355896039233,376.54441474777457,3.99923527778,38.0011091667,35.99955
4a29d22eab4b00ef03fee931165c6035.tif.mortality.tab,25,0.0,1383.0,606.0,45.0019363889,1,4143.5957940668068,263.98692182444017,19.0006161111,45.0019363889,44.0013241667
4a29d22eab4b00ef03fee931165c6035.tif.mortality.tab,26,0.0,737.0,604.0,46.0000805556,1,3660.3266862488636,277.91429677919808,14.0009997222,51.0013369444,45.0019363889
4a29d22eab4b00ef03fee931165c6035.tif.mortality.tab,27,0.0,695.0,561.0,26.9993713889,1,7753.5469375271532,331.35334672524186,11.0005863889,28.0006347222,26.0007766667
4a29d22eab4b00ef03fee931165c6035.tif.mortality.tab,28,0.0,940.0,564.0,56.0014755556,1,2742.4009088023518,215.80317576960857,36.9997761111,56.0014755556,55.0016713889
4a29d22eab4b00ef03fee931165c6035.tif.mortality.tab,30,0.0,696.0,528.0,32.9999483333,1,1570.9459407020358,223.13198648843061,19.9987166667,50.0006780556,32.0002261111
4a29d22eab4b00ef03fee931165c6035.tif.mortality.tab,31,0.0,1063.0,483.0,44.0013241667,1,6909.6627678060759,304.62316221964545,5.9988625,44.0013241667,43.0024091667
4a29d22eab4b00ef03fee931165c6035.tif.mortality.tab,32,0.0,1143.0,484.0,26.9993713889,1,3713.6170917614072,253.41056846847903,11.9997177778,26.9993713889,26.0007766667
4a29d22eab4b00ef03fee931165c6035.tif.mortality.tab,33,0.0,1305.0,484.0,2.00057888889,1,4549.2923606861068,3330.4228059116854,1.00623305556,3.00062861111,1.00623305556
4a29d22eab4b00ef03fee931165c6035.tif.mortality.tab,34,0.0,1304.0,445.0,43.0024091667,1,5596.07061616398,305.08324374389434,17.9989266667,44.0013241667,42.0013411111
4a29d22eab4b00ef03fee931165c6035.tif.mortality.tab,35,0.0,1386.0,445.0,50.0006780556,1,2558.4474355779275,228.14142860613802,17.9989266667,50.0006780556,49.0009158333
4a29d22eab4b00ef03fee931165c6035.tif.mortality.tab,36,0.0,1021.0,443.0,15.9999711111,1,3587.0675761113393,363.1687818094527,1.00623305556,19.0006161111,15.0014825
4a29d22eab4b00ef03fee931165c6035.tif.mortality.tab,37,0.0,576.0,442.0,25.0007661111,1,6793.5748590145859,360.88380063145007,11.9997177778,28.0006347222,24.0017688889
4a29d22eab4b00ef03fee931165c6035.tif.mortality.tab,38,0.0,146.0,416.0,56.0014755556,1,288.18860721705585,173.76355421271685,38.0011091667,74.3699986111,55.0016713889
4a29d22eab4b00ef03fee931165c6035.tif.mortality.tab,39,0.0,1345.0,406.0,43.0024091667,1,3106.5883729186853,249.68734577620083,15.0014825,43.0024091667,42.0013411111
4a29d22eab4b00ef03fee931165c6035.tif.mortality.tab,40,0.0,1385.0,405.0,44.0013241667,1,3259.2396598312403,233.84896936502392,15.0014825,44.0013241667,43.0024091667
4a29d22eab4b00ef03fee931165c6035.tif.mortality.tab,41,0.0,1224.0,403.0,29.0010197222,1,7388.089362156481,266.6123361750162,17.9989266667,30.0010272222,28.0006347222
4a29d22eab4b00ef03fee931165c6035.tif.mortality.tab,42,0.0,618.0,403.0,26.9993713889,1,6975.605492664673,242.91384137152963,11.0005863889,28.0006347222,26.0007766667
4a29d22eab4b00ef03fee931165c6035.tif.mortality.tab,43,0.0,1184.0,403.0,34.0013647222,1,4159.5264361541313,219.25143020167528,19.9987166667,38.0011091667,32.9999483333
4a29d22eab4b00ef03fee931165c6035.tif.mortality.tab,44,0.0,942.0,403.0,38.0011091667,1,4071.1720865544453,229.87784285262595,15.9999711111,38.0011091667,36.9997761111
4a29d22eab4b00ef03fee931165c6035.tif.mortality.tab,45,0.0,1104.0,365.0,42.0013411111,1,3698.267170754626,276.91377340231713,23.0000244444,42.0013411111,41.0014219444
4a29d22eab4b00ef03fee931165c6035.tif.mortality.tab,46,0.0,537.0,361.0,44.0013241667,1,7950.4389596554129,262.32662671862607,19.0006161111,45.0019363889,43.0024091667
4a29d22eab4b00ef03fee931165c6035.tif.mortality.tab,47,0.0,899.0,363.0,51.0013369444,1,5199.5130936908081,289.15611006970016,16.9991377778,51.0013369444,50.0006780556
4a29d22eab4b00ef03fee931165c6035.tif.mortality.tab,48,0.0,1103.0,323.0,14.0009997222,1,9207.2370077993874,274.99550582071686,7.99899305556,14.0009997222,13.0015875
4a29d22eab4b00ef03fee931165c6035.tif.mortality.tab,49,0.0,1265.0,284.0,50.0006780556,1,3610.4708249948549,239.43898456896872,15.0014825,51.0013369444,49.0009158333
4a29d22eab4b00ef03fee931165c6035.tif.mortality.tab,50,0.0,983.0,244.0,44.0013241667,1,4484.1386669061721,244.09733057225603,15.0014825,44.0013241667,43.0024091667
4a29d22eab4b00ef03fee931165c6035.tif.mortality.tab,51,0.0,459.0,243.0,35.99955,1,3761.2689469501229,210.04736297515956,16.9991377778,35.99955,35.0017794444
4a29d22eab4b00ef03fee931165c6035.tif.mortality.tab,53,0.0,1105.0,204.0,36.9997761111,1,5286.5352510479106,215.65318650914872,21.0005269444,38.0011091667,35.99955
4a29d22eab4b00ef03fee931165c6035.tif.mortality.tab,54,0.0,1023.0,204.0,22.0007877778,1,5167.0252043615001,311.10672468228455,11.9997177778,22.0007877778,21.0005269444
4a29d22eab4b00ef03fee931165c6035.tif.mortality.tab,55,0.0,984.0,204.0,35.99955,1,4080.8655272945239,286.76846394932318,2.00057888889,35.99955,35.0017794444
4a29d22eab4b00ef03fee931165c6035.tif.mortality.tab,56,0.0,1306.0,204.0,42.0013411111,1,4546.3417953693224,264.59405298672027,15.0014825,43.0024091667,41.0014219444
4a29d22eab4b00ef03fee931165c6035.tif.mortality.tab,57,0.0,1225.0,204.0,34.0013647222,1,4540.0228174978984,285.16491898173854,15.9999711111,35.0017794444,32.9999483333
